Accession;Region;Zone;District;Locality;Lat;Long;Edate;Hdate;Mdate;GfilP;PL;Ptype;SC
19488;Amara;Awi Agew;ADDIS KIDAME;Abugesh 31 km from Kosso ber to Dangella;11-10-10-N;36-51-53-E;5;44;94;50;25;2;2
19489;Amara;Awi Agew;DANGELA;34 km from Kosso ber to SW of 4 km Dangella town;11-08-10-N;36-49-44-E;7;43;93;50;26;2;2
19490;Amara;Awi Agew;DANGELA;Gondery 34 km from Kosso ber to SW of 4 km Dangella town;11-11-32-N;36-51-28-E;7;45;93;48;24;2;3
19491;Amara;Awi Agew;DANGELA;Gondery 34 km from Kosso ber to SW of 5 km Dangella town;11-11-31-N;36-51-28-E;8;47;93;46;54;5;3
19492;Amara;Awi Agew;DANGELA;Wera Kidanmeheret 36 km from Kosso ber to SW of 7 km Dangela;11-13-26-N;36-51-33-E;9;47;94;47;25;2;3
19493;Amara;Awi Agew;DANGELA;Zeru cheba 36 km from Kosso ber to SW of 8 km Dangela;11-14-10-N;36-51-15-E;7;45;92;47;19;2;3
19494;Amara;Awi Agew;KOSOBER;Besena 5 km east of Koso through the feeder road;10-58-16-N;36-57-39-E;7;46;100;54;18;2;2
19495;Amara;Awi Agew;KOSOBER;Janguta 9 km east of Koso through the feeder road;10-58-07-N;36-57-39-E;7;48;94;46;34;2;3
19496;Amara;Awi Agew;KOSOBER;Chewsa 10 km Kosober to Debre Markos;10-54-59-N;36-57-31-E;5;50;96;46;28;2;3
19497;Amara;Awi Agew;TILILI;Wasa /Wahsa 15 km Kosober to Debre Markos;10-52-57-N;36-59-22-E;7;45;94;49;27;2;3
19498;Amara;Awi Agew;TILILI;Wasa 6 km Kosober to Debre Markos;10-52-01-N;37-00-20-E;7;49;96;47;29;2;3
19499;Amara;Awi Agew;TILILI;Enjabehara 20 km Kosober to Debre Markos;10-50-19-N;37-02-48-E;7;50;96;46;32;1;3
19500;Amara;Awi Agew;TILILI;Aguna Agza 25 km Kosober to Debre Markos;10-49-51-N;37-02-57-E;7;48;95;47;36;2;3
19501;Amara;Awi Agew;TILILI;Aguna Agza 30 km Kosober to Debre Markos;10-49-40-N;37-02-57-E;7;49;96;47;36;2;4
19502;Amara;Awi Agew;TILILI;Absila 35 km Kosober to Debre Markos;10-48-19-N;37-03-00-E;7;49;98;49;20;2;3
19503;Amara;West Gojam;BURE;Burie 04 kebele 5 km on the junction of wellega to Shindi;10-41-35-N;37-02-54-E;5;55;108;53;20;3;4
19504;Amara;West Gojam;BURE;Addis Ababa 7 km Burie to Shindi wereda west way of Burie;10-41-35-N;37-02-54-E;5;54;111;57;40;3;4
19505;Amara;West Gojam;BURE;Ali Amba 9 km burie to Shinde;10-40-41-N;37-00-40-E;7;54;111;57;24;4;4
19506;Amara;West Gojam;FINOTE SELAM;Hodansh Gatagon 5 km Fenote Selam to Debre Markos;10-40-59-N;37-16-56-E;5;43;95;52;28;2;5
19507;Amara;West Gojam;FINOTE SELAM;Hodansh Gatagon 6 km Fenote Selam to Debre Markos;10-40-59-N;37-17-50-E;7;54;108;54;24;2;4
19508;Amara;West Gojam;FINOTE SELAM;Hodansh Gatagon 12 km Fenote Selam to Debre Markos;10-40-41-N;37-19-31-E;7;53;98;45;23;2;4
19509;Amara;West Gojam;FINOTE SELAM;Hodansh Gatagon 15 km Fenote Selam to Debre Markos;10-40-35-N;37-19-46-E;5;50;98;48;20;2;4
19510;Amara;West Gojam;FINOTE SELAM;At-hay 20 km Fenote Selam to Debre Markos;10-39-49-N;37-22-50-E;5;54;98;44;33;2;4
19511;Amara;West Gojam;FINOTE SELAM;Wengie 22 km Fenote Selam to Debre Markos;10-38-10-N;37-23-40-E;7;56;112;56;32;2;4
19512;Amara;West Gojam;DEMBECHA;Yeshohoch Mekelamo 26 km Fenote Selam to Debre Markos;10-35-23-N;37-26-04-E;5;56;111;55;23;2;4
19513;Amara;East Gojam;GUZAMN;Angulelshign 3 km Fenote Selam to Debre Markos;10-24-38-N;37-44-13-E;8;47;95;48;39;4;5
19514;Amara;East Gojam;GUZAMN;Angulelshign 4.5 km Fenote Selam to Debre Markos;10-19-28-N;37-44-07-E;7;45;92;47;23;2;5
