entry	PW_T	PL_T	SEV_T
13_22	0.8805	38.05	2.8
13_23	0.838421053	31.05263158	1.894736842
13_25	0.951	33.6	1.85
13_28	0.829	29.5	2.5
13_3	0.74	17.82352941	3.294117647
13_30	0.9415	34.15	1.625
13_31	0.832105263	25.21052632	2.342105263
13_33	0.736842105	18.94736842	2.578947368
13_36	0.627	17.5	3.675
13_4	0.6165	21	2.9
13_41	0.7825	34	2.475
13_5	0.670555556	27.5	2.666666667
13_60	1.008888889	33.61111111	2.5
14_11	0.64375	22.6875	3.5
14_12	1.0095	39.15	2.125
14_13	1.176666667	39.16666667	1.944444444
14_25	0.5975	27.125	2.75
14_32	0.6315	26.4	2.15
14_36	0.664705882	22.41176471	3.176470588
14_39	1.023157895	32.63157895	1.868421053
14_5	0.948	33.25	2.975
14_67	0.806	32.15	2.025
14_73	0.842	24.05	2.775
14_84	0.467777778	3.444444444	4.666666667
14_92	0.795	32.6	1.875
14_93	1.037368421	33.63157895	2.052631579
15_1	0.487222222	17.88888889	3.222222222
15_103	0.783	28.65	2.4
15_111	0.379285714	9.714285714	4.071428571
15_15	0.9395	33.8	2.075
15_22	0.626315789	28	2.184210526
15_23	0.815	33.1	2.2
15_24	0.592	28	3.2
15_6	0.67125	21.8125	3.375
15_73	0.731	26.65	2.6
15_8	0.61125	16.3125	3.5625
15_84	0.518823529	21.41176471	3.294117647
15_93	0.586842105	27.15789474	2.578947368
16_10	0.877647059	27.41176471	2.647058824
16_104	0.800769231	32.92307692	2.115384615
16_22	0.3825	5.25	4.583333333
16_29	0.771052632	27.21052632	2.736842105
16_51	0.581538462	22.76923077	2.769230769
16_6	0.845	25.75	2.65625
16_75	0.969411765	25.76470588	2.882352941
16_81	0.792666667	29.66666667	2.8
